City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
60,Santa Cruz De La Palma,ES,2022-02-10 17:11:44,28.6835,-17.7642,75.34,50,0,17.27,clear sky
61,Pavino,RU,2022-02-10 17:11:44,59.1139,46.1414,22.42,95,100,7.78,overcast clouds
62,Atuona,PF,2022-02-10 17:11:44,-9.8,-139.0333,78.19,76,19,18.45,light rain
63,Ushuaia,AR,2022-02-10 17:11:45,-54.8,-68.3,47.82,76,75,28.77,broken clouds
64,Lodja,CD,2022-02-10 17:11:45,-3.4833,23.4333,74.95,80,46,2.68,scattered clouds
65,Bluff,NZ,2022-02-10 17:11:45,-46.6,168.3333,58.8,88,89,14.23,overcast clouds
66,San Quintin,MX,2022-02-10 17:11:46,30.4833,-115.95,68.52,27,0,5.08,clear sky
67,Kolondieba,ML,2022-02-10 17:11:46,11.0882,-6.8926,96.78,7,0,9.66,clear sky
68,Maple Creek,CA,2022-02-10 17:11:46,49.9168,-109.4848,46.4,58,100,17.27,overcast clouds
69,Bengkulu,ID,2022-02-10 17:11:47,-3.8004,102.2655,76.6,75,100,4.12,moderate rain
70,Norman Wells,CA,2022-02-10 17:11:47,65.282,-126.8329,-11.16,70,100,13.8,light snow
71,New Norfolk,AU,2022-02-10 17:11:47,-42.7826,147.0587,58.5,55,71,2.53,broken clouds
72,Sitka,US,2022-02-10 17:11:39,57.0531,-135.33,37.29,65,75,16.11,broken clouds
73,Kavaratti,IN,2022-02-10 17:10:04,10.5669,72.642,79.72,72,63,11.9,broken clouds
74,Bredasdorp,ZA,2022-02-10 17:11:48,-34.5322,20.0403,69.28,60,1,13.47,clear sky
75,Vaini,TO,2022-02-10 17:11:45,-21.2,-175.2,80.53,80,77,23.02,light rain
76,Batagay-Alyta,RU,2022-02-10 17:11:48,67.8006,130.4114,-25.69,89,87,4.83,overcast clouds
77,Punta Arenas,CL,2022-02-10 17:11:13,-53.15,-70.9167,55.42,57,40,31.07,scattered clouds
78,Mayo,US,2022-02-10 17:11:49,38.8876,-76.5119,59.34,36,20,12.66,few clouds
79,Magadan,RU,2022-02-10 17:11:49,59.5667,150.8,-6.88,73,95,5.66,overcast clouds
80,Barrow,US,2022-02-10 17:11:49,71.2906,-156.7887,-27.38,68,0,5.75,clear sky
81,Bethel,US,2022-02-10 17:11:50,41.3712,-73.414,51.85,58,0,14.97,clear sky
82,San Nicolas,PH,2022-02-10 17:11:50,18.1725,120.5953,75.15,79,7,7.0,clear sky
83,Calatayud,ES,2022-02-10 17:11:50,41.3535,-1.6432,57.78,45,43,2.39,scattered clouds
84,Along,IN,2022-02-10 17:11:51,28.1667,94.7667,52.95,98,100,1.95,overcast clouds
85,Srandakan,ID,2022-02-10 17:02:12,-7.9386,110.2506,78.55,84,100,4.88,heavy intensity rain
86,Castro,BR,2022-02-10 17:11:51,-24.7911,-50.0119,77.85,51,14,2.55,few clouds
87,Ribeira Grande,PT,2022-02-10 17:11:51,38.5167,-28.7,63.0,67,20,8.05,few clouds
88,Berlevag,NO,2022-02-10 17:11:52,70.8578,29.0864,22.95,80,0,17.27,clear sky
89,Mataura,NZ,2022-02-10 17:11:52,-46.1927,168.8643,58.48,96,61,2.08,broken clouds
90,Cape Town,ZA,2022-02-10 17:11:52,-33.9258,18.4232,75.09,47,0,9.08,clear sky
91,Zalalovo,HU,2022-02-10 17:11:53,46.848,16.5875,46.13,63,13,2.28,few clouds
92,Genhe,CN,2022-02-10 17:11:53,50.7833,121.5167,-9.71,99,100,3.4,overcast clouds
93,Sokolo,ML,2022-02-10 17:11:53,14.7328,-6.1219,90.59,6,0,13.58,clear sky
94,Jumla,NP,2022-02-10 17:12:54,29.2747,82.1838,24.12,92,75,6.71,broken clouds
95,Hobyo,SO,2022-02-10 17:12:54,5.3505,48.5268,76.64,67,92,20.49,overcast clouds
96,Sattenapalle,IN,2022-02-10 17:12:54,16.4,80.1833,67.66,79,27,4.41,scattered clouds
97,Fort Nelson,CA,2022-02-10 17:12:54,58.8053,-122.7002,34.83,55,100,11.77,overcast clouds
98,Brae,GB,2022-02-10 17:12:55,60.3964,-1.353,35.51,56,100,22.24,overcast clouds
99,Carutapera,BR,2022-02-10 17:12:55,-1.195,-46.02,82.85,72,73,7.0,broken clouds
100,Yellowknife,CA,2022-02-10 17:12:55,62.456,-114.3525,-10.44,79,99,11.99,overcast clouds
101,Vernon,CA,2022-02-10 17:12:56,50.2581,-119.2691,37.76,93,99,1.1,overcast clouds
102,Katsuura,JP,2022-02-10 17:12:56,35.1333,140.3,37.11,96,100,25.28,overcast clouds
103,Talara,PE,2022-02-10 17:12:56,-4.5772,-81.2719,84.96,54,40,9.22,scattered clouds
104,Touros,BR,2022-02-10 17:12:57,-5.1989,-35.4608,88.7,52,55,12.73,broken clouds
105,Necochea,AR,2022-02-10 17:12:57,-38.5473,-58.7368,86.04,38,19,16.15,few clouds
106,Carnarvon,AU,2022-02-10 17:09:05,-24.8667,113.6333,80.67,74,75,6.91,broken clouds
107,Tukrah,LY,2022-02-10 17:12:57,32.5341,20.5791,54.3,69,2,11.12,clear sky
108,Saint-Philippe,RE,2022-02-10 17:11:51,-21.3585,55.7679,78.39,80,25,6.89,scattered clouds
109,Khatanga,RU,2022-02-10 17:12:58,71.9667,102.5,-0.87,94,100,14.54,overcast clouds
110,Hilo,US,2022-02-10 17:09:51,19.7297,-155.09,63.25,80,0,8.05,clear sky
111,Dengzhou,CN,2022-02-10 17:12:58,37.8086,120.7508,38.32,61,95,6.71,overcast clouds
112,Provideniya,RU,2022-02-10 17:12:58,64.3833,-173.3,-19.68,92,43,3.6,scattered clouds
113,Hobart,AU,2022-02-10 17:10:37,-42.8794,147.3294,58.86,64,100,8.05,overcast clouds
114,Lorengau,PG,2022-02-10 17:12:59,-2.0226,147.2712,80.38,81,74,6.31,broken clouds
115,Cherskiy,RU,2022-02-10 17:12:59,68.75,161.3,-37.84,100,100,5.91,overcast clouds
116,Meulaboh,ID,2022-02-10 17:12:59,4.1363,96.1285,75.92,84,99,4.52,overcast clouds
117,Vila,PT,2022-02-10 17:13:00,42.0304,-8.1588,54.73,67,100,3.51,overcast clouds
