City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
555,Mbarara,UG,72.09,broken clouds,-0.608,30.65,Oxford Hotel
556,Ouadda,CF,82.26,clear sky,8.0777,22.4007,
561,Redwater,US,66.49,few clouds,33.3582,-94.2544,"Holiday Inn Express & Suites Texarkana, an IHG Hotel"
563,Cam Ranh,VN,76.96,scattered clouds,11.9214,109.1591,"Alma Resort - Timeshare Vacation Ownership - Long Beach, Cam Ranh"
564,Ulladulla,AU,67.77,light rain,-35.35,150.4667,Sandpiper Motel
569,Manono,CD,70.2,overcast clouds,-7.3,27.4167,Hotel hewa bora
570,Sao Filipe,CV,79.7,overcast clouds,14.8961,-24.4956,Hotel Xaguate
571,Poum,NC,80.89,overcast clouds,-20.2333,164.0167,Gite de Pagop
572,Tautira,PF,80.62,light rain,-17.7333,-149.15,Vanira Lodge
575,Emerald,AU,73.54,clear sky,-23.5333,148.1667,The Irish Village
577,Sydney,AU,69.58,broken clouds,-33.8679,151.2073,The Grace Sydney
578,Namatanai,PG,79.2,light rain,-3.6667,152.4333,Seagulls Inn Namatani
579,Bauchi,NG,82.08,scattered clouds,10.5,10.0,Decrown Hotels
581,Mindelo,CV,81.95,broken clouds,16.8901,-24.9804,Hotel Gaudi
583,New Amsterdam,GY,80.55,overcast clouds,6.25,-57.5167,Little Rock Suites
591,Ilo,PE,74.26,clear sky,-17.6394,-71.3375,Torreblanca Hotel
596,Puerto Asis,CO,84.76,overcast clouds,0.5133,-76.5007,Ayawaska Hostal
597,Tomatlan,MX,81.59,clear sky,19.9333,-105.25,Rancho Andrea
598,Codajas,BR,82.47,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
600,Voh,NC,78.89,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
601,Omboue,GA,79.66,moderate rain,-1.5746,9.2618,Hotel Olako
603,Singkang,MY,75.09,light rain,2.1006,102.7994,OYO 778 Bmw 2 Hotel
605,Marzuq,YE,65.62,broken clouds,14.4,46.4667,
606,Phetchaburi,TH,76.86,overcast clouds,12.9667,99.5833,Boathouse Paradise Resort
613,Ahipara,NZ,72.75,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
617,Galdar,ES,73.53,scattered clouds,28.147,-15.6502,Hotel Cristina by Tigotan Las Palmas
618,Inhambane,MZ,78.78,few clouds,-23.865,35.3833,Lobster Chalets
619,Lake Havasu City,US,69.1,clear sky,34.4839,-114.3224,Heat Hotel
620,Cunduacan,MX,75.16,broken clouds,18.0667,-93.1667,"Crowne Plaza Villahermosa, an IHG Hotel"
628,Ixtapa,MX,70.83,clear sky,20.7,-105.2,Hotel Plaza Providencia
630,Bilma,NE,71.51,clear sky,18.6853,12.9164,Expeditions Ténére voyages
631,Conceicao Do Araguaia,BR,83.14,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
635,Chimbote,PE,76.3,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
637,La Cruz,MX,71.53,clear sky,23.9167,-106.9,Azul Celeste
639,Marawi,PH,66.65,heavy intensity rain,7.9986,124.2928,Derogongan Residence
640,Luanda,AO,78.96,broken clouds,-8.8368,13.2343,Hotel Fórum
648,Manali,IN,80.08,clear sky,13.1667,80.2667,The Accord Metropolitan
650,Hagdan,PH,78.91,overcast clouds,11.3333,123.9,Tepanee Beach Resort
654,Voi,KE,82.36,broken clouds,-3.3945,38.563,Voi Wildlife Lodge
656,Tabou,CI,82.71,broken clouds,4.423,-7.3528,hotêl doufoulougou
657,Shakiso,ET,70.65,broken clouds,5.75,38.9167,Bealu Girma Hottel
662,Antofagasta,CL,72.68,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
664,Hambantota,LK,78.24,moderate rain,6.1241,81.1185,Saraii Village
667,Sorong,ID,79.66,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
668,Adre,TD,73.74,clear sky,13.4667,22.2,
669,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
670,Batemans Bay,AU,68.09,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
673,Tshikapa,CD,77.81,light rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
679,Bowen,AU,73.62,few clouds,-20.0167,148.2333,Rose Bay Resort
681,Bako,ET,73.54,scattered clouds,5.7833,36.5667,Goh Hotel
685,Chongwe,ZM,67.21,moderate rain,-15.3292,28.682,Grakas Lodge
692,Nyaunglebin,MM,66.06,scattered clouds,17.95,96.7333,Thi ha
694,Mocuba,MZ,76.66,overcast clouds,-16.8392,36.9856,Phama Lodge
695,Mamallapuram,IN,80.06,clear sky,12.6264,80.1722,Taj Fisherman's Cove Resort & Spa Chennai
698,Ananas,HT,75.27,clear sky,19.2466,-71.9557,«Petites Soeurs de l'Incarnation»
699,Ternate,ID,79.97,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
700,Acaponeta,MX,78.84,clear sky,22.4964,-105.3594,Hotel Casa Blanca
701,Kupang,ID,75.85,light rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
704,Bongor,TD,84.65,clear sky,10.2806,15.3722,Oryx Palace
